Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;61;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;42;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;54;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;62;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;53;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;42;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;53;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;34;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;80;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;73;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;5;Protection;Chernihivska;Chernihivskyi;Kyinska;Trysviatska Sloboda;21.03.2023;Access to general services;ukrainian;Andrii Moseiko, Yurii Stankevych;Rural;Female;59;Conflict affected;YES;
