_ID;Project;Payment Done;Amount
360986177;BHA - UKR-000284;YES;13320
360986167;BHA - UKR-000284;YES;13320
360986156;BHA - UKR-000284;YES;13320
360986120;BHA - UKR-000284;YES;19980
360986112;BHA - UKR-000284;YES;19980
360986096;BHA - UKR-000284;YES;13320
360986079;BHA - UKR-000284;YES;6660
360986000;BHA - UKR-000284;YES;6660
360985994;BHA - UKR-000284;YES;13320
360985861;BHA - UKR-000284;YES;6660
360985851;BHA - UKR-000284;YES;6660
360985810;BHA - UKR-000284;YES;6660
360985783;BHA - UKR-000284;YES;53280
360985762;BHA - UKR-000284;YES;13320
360985624;BHA - UKR-000284;YES;39960
360985614;BHA - UKR-000284;YES;19980
360985591;BHA - UKR-000284;YES;19980
360985564;BHA - UKR-000284;YES;6660
360985556;BHA - UKR-000284;YES;26640
360985547;BHA - UKR-000284;YES;26640
360985501;BHA - UKR-000284;YES;6660
360985483;BHA - UKR-000284;YES;13320
360985284;BHA - UKR-000284;YES;6660
360985278;BHA - UKR-000284;YES;6660
360985263;BHA - UKR-000284;YES;6660
360985187;BHA - UKR-000284;YES;6660
360985168;BHA - UKR-000284;YES;6660
360985112;BHA - UKR-000284;YES;13320
360985105;BHA - UKR-000284;YES;13320
360985073;BHA - UKR-000284;YES;6660
360985058;BHA - UKR-000284;YES;26640
360989397;BHA - UKR-000284;YES;19980
360989410;BHA - UKR-000284;YES;19980
370204684;BHA - UKR-000284;YES;13320
370204700;BHA - UKR-000284;YES;19980
371324883;BHA - UKR-000284;YES;13320
371324898;BHA - UKR-000284;YES;19980
371324938;BHA - UKR-000284;YES;13320
371324979;BHA - UKR-000284;YES;19980
371324990;BHA - UKR-000284;YES;19980
371325016;BHA - UKR-000284;YES;6660
371325061;BHA - UKR-000284;YES;19980
371325087;BHA - UKR-000284;YES;26640
371325096;BHA - UKR-000284;YES;13320
371325106;BHA - UKR-000284;YES;13320
371325113;BHA - UKR-000284;YES;39960
371325853;BHA - UKR-000284;YES;19980
371325891;BHA - UKR-000284;YES;19980
371325955;BHA - UKR-000284;YES;13320
371325970;BHA - UKR-000284;YES;13320
371325986;BHA - UKR-000284;YES;19980
371326524;BHA - UKR-000284;YES;19980
372788936;BHA - UKR-000284;YES;6660
372788940;BHA - UKR-000284;YES;33300
372788949;BHA - UKR-000284;YES;26640
372788973;BHA - UKR-000284;YES;19980
365111171;BHA - UKR-000284;YES;6660
366922275;BHA - UKR-000284;YES;26640
366922432;BHA - UKR-000284;YES;13320
367601535;BHA - UKR-000284;YES;19980
370202679;BHA - UKR-000284;YES;13320
370203867;BHA - UKR-000284;YES;19980
370204036;BHA - UKR-000284;YES;6660
370204157;BHA - UKR-000284;YES;26640
370204319;BHA - UKR-000284;YES;13320
370204589;BHA - UKR-000284;YES;13320
371324908;BHA - UKR-000284;YES;19980
371324918;BHA - UKR-000284;YES;19980
371324955;BHA - UKR-000284;YES;13320
371325010;BHA - UKR-000284;YES;19980
371325031;BHA - UKR-000284;YES;19980
371325073;BHA - UKR-000284;YES;13320
371325924;BHA - UKR-000284;YES;26640
371325936;BHA - UKR-000284;YES;19980
371326023;BHA - UKR-000284;YES;13320
371620775;BHA - UKR-000284;YES;19980
371620784;BHA - UKR-000284;YES;19980
371620795;BHA - UKR-000284;YES;13320
371620835;BHA - UKR-000284;YES;13320
373284012;BHA - UKR-000284;YES;13320
375318497;BHA - UKR-000284;YES;6660
372788977;BHA - UKR-000284;YES;26640
372788991;BHA - UKR-000284;YES;19980
372789019;BHA - UKR-000284;YES;33300
372789055;BHA - UKR-000284;YES;19980
372789064;BHA - UKR-000284;YES;13320
372789084;BHA - UKR-000284;YES;13320
372789188;BHA - UKR-000284;YES;26640
372789196;BHA - UKR-000284;YES;13320
372789272;BHA - UKR-000284;YES;19980
372789289;BHA - UKR-000284;YES;33300
372789311;BHA - UKR-000284;YES;53280
372789330;BHA - UKR-000284;YES;13320
372789338;BHA - UKR-000284;YES;13320
372789347;BHA - UKR-000284;YES;13320
372789907;BHA - UKR-000284;YES;33300
372789912;BHA - UKR-000284;YES;19980
372790512;BHA - UKR-000284;YES;19980
375318509;BHA - UKR-000284;YES;13320
375318526;BHA - UKR-000284;YES;6660
375318539;BHA - UKR-000284;YES;19980
375319035;BHA - UKR-000284;YES;6660
375319045;BHA - UKR-000284;YES;13320
375319051;BHA - UKR-000284;YES;19980
375343952;BHA - UKR-000284;YES;13320
375592404;BHA - UKR-000284;YES;13320
375592415;BHA - UKR-000284;YES;26640
375592432;BHA - UKR-000284;YES;19980
375597992;BHA - UKR-000284;YES;26640
375598005;BHA - UKR-000284;YES;13320
375598034;BHA - UKR-000284;YES;26640
375598058;BHA - UKR-000284;YES;19980
375598897;BHA - UKR-000284;YES;19980
375598921;BHA - UKR-000284;YES;13320
375598945;BHA - UKR-000284;YES;13320
375598956;BHA - UKR-000284;YES;13320
375598984;BHA - UKR-000284;YES;13320
375599774;BHA - UKR-000284;YES;19980
375599778;BHA - UKR-000284;YES;13320
375599796;BHA - UKR-000284;YES;26640
375599814;BHA - UKR-000284;YES;13320
375599824;BHA - UKR-000284;YES;13320
375600947;BHA - UKR-000284;YES;13320
375600953;BHA - UKR-000284;YES;19980
375600972;BHA - UKR-000284;YES;6660
375600980;BHA - UKR-000284;YES;13320
375610917;BHA - UKR-000284;YES;13320
375610938;BHA - UKR-000284;YES;13320
376019384;BHA - UKR-000284;YES;13320
376019411;BHA - UKR-000284;YES;26640
376019448;BHA - UKR-000284;YES;19980
376541802;BHA - UKR-000284;YES;13320
376541826;BHA - UKR-000284;YES;19980
376541851;BHA - UKR-000284;YES;26640
376543068;BHA - UKR-000284;YES;13320
377241554;BHA - UKR-000284;YES;13320
377241562;BHA - UKR-000284;YES;6660
377241589;BHA - UKR-000284;YES;33300
377241594;BHA - UKR-000284;YES;19980
377241601;BHA - UKR-000284;YES;19980
377241611;BHA - UKR-000284;YES;19980
377241627;BHA - UKR-000284;YES;33300
377241636;BHA - UKR-000284;YES;19980
377242173;BHA - UKR-000284;YES;19980
377242191;BHA - UKR-000284;YES;13320
377242491;BHA - UKR-000284;YES;19980
377242498;BHA - UKR-000284;YES;13320
377242507;BHA - UKR-000284;YES;19980
377242521;BHA - UKR-000284;YES;19980
377242528;BHA - UKR-000284;YES;26640
377242534;BHA - UKR-000284;YES;19980
377242540;BHA - UKR-000284;YES;39960
377242547;BHA - UKR-000284;YES;19980
377242632;BHA - UKR-000284;YES;33300
377243204;BHA - UKR-000284;YES;13320
377245575;BHA - UKR-000284;YES;26640
377245581;BHA - UKR-000284;YES;6660
377245617;BHA - UKR-000284;YES;46620
377245622;BHA - UKR-000284;YES;19980
377245630;BHA - UKR-000284;YES;13320
377245639;BHA - UKR-000284;YES;13320
377245648;BHA - UKR-000284;YES;13320
377245654;BHA - UKR-000284;YES;19980
377245898;BHA - UKR-000284;YES;19980
377245905;BHA - UKR-000284;YES;19980
377245959;BHA - UKR-000284;YES;6660
371620877;BHA - UKR-000284;YES;19980
371622416;BHA - UKR-000284;YES;33300
371622456;BHA - UKR-000284;YES;13320
372789013;BHA - UKR-000284;YES;26640
375598893;BHA - UKR-000284;YES;33300
375598963;BHA - UKR-000284;YES;33300
376031917;BHA - UKR-000284;YES;33300
376031927;BHA - UKR-000284;YES;19980
376033256;BHA - UKR-000284;YES;6660
377241547;BHA - UKR-000284;YES;13320
360986238;BHA - UKR-000284;YES;4440
372789039;BHA - UKR-000284;YES;8880
377242228;BHA - UKR-000284;YES;6660
384315891;BHA - UKR-000284;YES;39960
384315922;BHA - UKR-000284;YES;13320
384315937;BHA - UKR-000284;YES;13320
384315952;BHA - UKR-000284;YES;26640
384315990;BHA - UKR-000284;YES;26640
384316011;BHA - UKR-000284;YES;6660
384316022;BHA - UKR-000284;YES;26640
384316030;BHA - UKR-000284;YES;33300
